t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.153000,0.773964348,-0.013355366,0.402825738,-0.008691119
0.154000,0.773692786,-0.013431429,0.405257562,-0.008737579
0.155000,0.773421169,-0.013506674,0.407695794,-0.008783534
0.156000,0.773149450,-0.013581098,0.410140337,-0.008828977
0.157000,0.772877581,-0.013654697,0.412591090,-0.008873907
0.158000,0.772605514,-0.013727469,0.415047955,-0.008918318
0.159000,0.772333201,-0.013799410,0.417510832,-0.008962207
0.160000,0.772060594,-0.013870518,0.419979621,-0.009005570
0.161000,0.771787644,-0.013940790,0.422454224,-0.009048403
0.162000,0.771514303,-0.014010225,0.424934539,-0.009090703
0.163000,0.771240523,-0.014078819,0.427420468,-0.009132466
0.164000,0.770966255,-0.014146571,0.429911910,-0.009173688
0.165000,0.770691450,-0.014213478,0.432408766,-0.009214366
0.166000,0.770416059,-0.014279540,0.434910935,-0.009254495
0.167000,0.770140035,-0.014344755,0.437418316,-0.009294072
0.168000,0.769863327,-0.014409120,0.439930810,-0.009333094
0.169000,0.769585887,-0.014472635,0.442448316,-0.009371556
0.170000,0.769307665,-0.014535299,0.444970733,-0.009409456
0.171000,0.769028614,-0.014597110,0.447497962,-0.009446789
0.172000,0.768748682,-0.014658068,0.450029901,-0.009483552
0.173000,0.768467822,-0.014718172,0.452566450,-0.009519742
0.174000,0.768185984,-0.014777421,0.455107508,-0.009555354
0.175000,0.767903118,-0.014835815,0.457652974,-0.009590387
0.176000,0.767619175,-0.014893353,0.460202747,-0.009624835
0.177000,0.767334107,-0.014950035,0.462756728,-0.009658696
0.178000,0.767047862,-0.015005861,0.465314814,-0.009691965
0.179000,0.766760392,-0.015060832,0.467876904,-0.009724641
0.180000,0.766471648,-0.015114946,0.470442899,-0.009756719
0.181000,0.766181579,-0.015168204,0.473012697,-0.009788195
0.182000,0.765890137,-0.015220607,0.475586197,-0.009819068
0.183000,0.765597271,-0.015272154,0.478163298,-0.009849332
0.184000,0.765302933,-0.015322848,0.480743899,-0.009878986
0.185000,0.765007071,-0.015372687,0.483327900,-0.009908025
0.186000,0.764709638,-0.015421673,0.485915199,-0.009936447
0.187000,0.764410584,-0.015469807,0.488505695,-0.009964247
0.188000,0.764109858,-0.015517090,0.491099288,-0.009991424
0.189000,0.763807411,-0.015563522,0.493695876,-0.010017973
0.190000,0.763503195,-0.015609105,0.496295359,-0.010043892
0.191000,0.763197158,-0.015653840,0.498897636,-0.010069178
0.192000,0.762889253,-0.015697729,0.501502606,-0.010093827
0.193000,0.762579429,-0.015740772,0.504110169,-0.010117836
0.194000,0.762267636,-0.015782972,0.506720223,-0.010141202
0.195000,0.761953827,-0.015824330,0.509332668,-0.010163922
0.196000,0.761637950,-0.015864847,0.511947403,-0.010185993
0.197000,0.761319958,-0.015904525,0.514564329,-0.010207413
0.198000,0.760999800,-0.015943367,0.517183343,-0.010228178
0.199000,0.760677427,-0.015981374,0.519804347,-0.010248285
0.200000,0.760352791,-0.016018548,0.522427239,-0.010267731
0.201000,0.760025843,-0.016054891,0.525051920,-0.010286514
0.202000,0.759696533,-0.016090405,0.527678288,-0.010304630
0.203000,0.759364812,-0.016125092,0.530306245,-0.010322077
0.204000,0.759030631,-0.016158955,0.532935689,-0.010338852
0.205000,0.758693943,-0.016191997,0.535566521,-0.010354952
0.206000,0.758354697,-0.016224218,0.538198642,-0.010370375
0.207000,0.758012846,-0.016255623,0.540831951,-0.010385118
0.208000,0.757668341,-0.016286213,0.543466348,-0.010399177
0.209000,0.757321133,-0.016315991,0.546101735,-0.010412551
0.210000,0.756971174,-0.016344959,0.548738011,-0.010425237
0.211000,0.756618417,-0.016373121,0.551375078,-0.010437233
0.212000,0.756262812,-0.016400479,0.554012836,-0.010448535
0.213000,0.755904312,-0.016427036,0.556651186,-0.010459141
0.214000,0.755542869,-0.016452795,0.559290029,-0.010469049
0.215000,0.755178436,-0.016477758,0.561929267,-0.010478256
0.216000,0.754810963,-0.016501929,0.564568800,-0.010486760
0.217000,0.754440405,-0.016525310,0.567208531,-0.010494559
0.218000,0.754066714,-0.016547906,0.569848360,-0.010501650
0.219000,0.753689841,-0.016569717,0.572488190,-0.010508031
0.220000,0.753309741,-0.016590749,0.575127922,-0.010513699
0.221000,0.752926367,-0.016611004,0.577767459,-0.010518653
0.222000,0.752539670,-0.016630485,0.580406702,-0.010522890
0.223000,0.752149606,-0.016649196,0.583045554,-0.010526409
0.224000,0.751756126,-0.016667139,0.585683919,-0.010529206
0.225000,0.751359185,-0.016684319,0.588321697,-0.010531279
0.226000,0.750958737,-0.016700737,0.590958793,-0.010532628
0.227000,0.750554736,-0.016716399,0.593595109,-0.010533250
0.228000,0.750147135,-0.016731307,0.596230548,-0.010533142
0.229000,0.749735889,-0.016745465,0.598865015,-0.010532303
0.230000,0.749320952,-0.016758876,0.601498412,-0.010530732
0.231000,0.748902280,-0.016771543,0.604130644,-0.010528425
0.232000,0.748479826,-0.016783471,0.606761614,-0.010525382
0.233000,0.748053547,-0.016794663,0.609391227,-0.010521601
0.234000,0.747623396,-0.016805121,0.612019387,-0.010517079
0.235000,0.747189330,-0.016814851,0.614645999,-0.010511816
0.236000,0.746751304,-0.016823855,0.617270968,-0.010505810
0.237000,0.746309274,-0.016832137,0.619894199,-0.010499058
0.238000,0.745863196,-0.016839701,0.622515597,-0.010491561
0.239000,0.745413026,-0.016846551,0.625135067,-0.010483315
0.240000,0.744958721,-0.016852689,0.627752516,-0.010474320
0.241000,0.744500237,-0.016858120,0.630367849,-0.010464574
0.242000,0.744037531,-0.016862848,0.632980973,-0.010454075
0.243000,0.743570560,-0.016866876,0.635591794,-0.010442824
0.244000,0.743099282,-0.016870208,0.638200219,-0.010430817
0.245000,0.742623654,-0.016872847,0.640806155,-0.010418055
0.246000,0.742143633,-0.016874798,0.643409508,-0.010404535
0.247000,0.741659179,-0.016876064,0.646010188,-0.010390258
0.248000,0.741170249,-0.016876649,0.648608100,-0.010375221
0.249000,0.740676801,-0.016876556,0.651203154,-0.010359423
0.250000,0.740178795,-0.016875790,0.653795257,-0.010342865
0.251000,0.739676189,-0.016874355,0.656384319,-0.010325544
0.252000,0.739168943,-0.016872253,0.658970247,-0.010307460
0.253000,0.738657017,-0.016869489,0.661552952,-0.010288612
0.254000,0.738140369,-0.016866066,0.664132342,-0.010268999
0.255000,0.737618960,-0.016861989,0.666708326,-0.010248621
0.256000,0.737092751,-0.016857260,0.669280816,-0.010227477
0.257000,0.736561702,-0.016851885,0.671849721,-0.010205566
0.258000,0.736025774,-0.016845866,0.674414952,-0.010182888
0.259000,0.735484928,-0.016839207,0.676976420,-0.010159441
0.260000,0.734939126,-0.016831913,0.679534035,-0.010135227
0.261000,0.734388329,-0.016823986,0.682087710,-0.010110244
0.262000,0.733832499,-0.016815431,0.684637356,-0.010084492
0.263000,0.733271599,-0.016806252,0.687182885,-0.010057970
0.264000,0.732705591,-0.016796451,0.689724209,-0.010030679
0.265000,0.732134438,-0.016786033,0.692261242,-0.010002618
0.266000,0.731558103,-0.016775002,0.694793896,-0.009973787
0.267000,0.730976551,-0.016763361,0.697322085,-0.009944186
0.268000,0.730389744,-0.016751114,0.699845722,-0.009913815
0.269000,0.729797647,-0.016738264,0.702364722,-0.009882674
0.270000,0.729200224,-0.016724816,0.704878999,-0.009850763
0.271000,0.728597440,-0.016710773,0.707388467,-0.009818082
0.272000,0.727989261,-0.016696138,0.709893042,-0.009784632
0.273000,0.727375651,-0.016680916,0.712392640,-0.009750412
0.274000,0.726756577,-0.016665109,0.714887175,-0.009715423
0.275000,0.726132004,-0.016648722,0.717376564,-0.009679665
0.276000,0.725501899,-0.016631758,0.719860724,-0.009643139
0.277000,0.724866229,-0.016614220,0.722339572,-0.009605845
0.278000,0.724224960,-0.016596113,0.724813024,-0.009567783
0.279000,0.723578061,-0.016577439,0.727280999,-0.009528955
0.280000,0.722925499,-0.016558202,0.729743414,-0.009489361
0.281000,0.722267242,-0.016538406,0.732200188,-0.009449002
0.282000,0.721603258,-0.016518055,0.734651240,-0.009407877
0.283000,0.720933517,-0.016497151,0.737096488,-0.009365989
0.284000,0.720257988,-0.016475698,0.739535852,-0.009323338
0.285000,0.719576640,-0.016453700,0.741969252,-0.009279925
0.286000,0.718889444,-0.016431160,0.744396609,-0.009235751
0.287000,0.718196369,-0.016408081,0.746817843,-0.009190817
0.288000,0.717497386,-0.016384467,0.749232875,-0.009145124
