t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.129000,0.375871373,0.000948544,0.113773206,-0.015590252
0.130000,0.375581554,0.000968148,0.116558214,-0.015727670
0.131000,0.375284603,0.000988047,0.119346146,-0.015864410
0.132000,0.374980403,0.001008242,0.122136772,-0.016000455
0.133000,0.374668842,0.001028735,0.124929861,-0.016135790
0.134000,0.374349803,0.001049530,0.127725184,-0.016270399
0.135000,0.374023175,0.001070626,0.130522512,-0.016404265
0.136000,0.373688844,0.001092026,0.133321614,-0.016537373
0.137000,0.373346698,0.001113732,0.136122262,-0.016669708
0.138000,0.372996625,0.001135746,0.138924227,-0.016801253
0.139000,0.372638514,0.001158069,0.141727280,-0.016931993
0.140000,0.372272255,0.001180704,0.144531194,-0.017061913
0.141000,0.371897736,0.001203651,0.147335741,-0.017190997
0.142000,0.371514850,0.001226913,0.150140693,-0.017319229
0.143000,0.371123488,0.001250492,0.152945824,-0.017446595
0.144000,0.370723542,0.001274389,0.155750909,-0.017573079
0.145000,0.370314904,0.001298605,0.158555721,-0.017698666
0.146000,0.369897469,0.001323144,0.161360035,-0.017823342
0.147000,0.369471130,0.001348005,0.164163627,-0.017947091
0.148000,0.369035784,0.001373192,0.166966273,-0.018069898
0.149000,0.368591325,0.001398705,0.169767750,-0.018191750
0.150000,0.368137652,0.001424546,0.172567835,-0.018312631
0.151000,0.367674660,0.001450718,0.175366307,-0.018432527
0.152000,0.367202250,0.001477221,0.178162944,-0.018551423
0.153000,0.366720321,0.001504057,0.180957527,-0.018669306
0.154000,0.366228772,0.001531228,0.183749835,-0.018786162
0.155000,0.365727505,0.001558736,0.186539650,-0.018901975
0.156000,0.365216422,0.001586582,0.189326754,-0.019016733
0.157000,0.364695427,0.001614768,0.192110930,-0.019130422
0.158000,0.364164422,0.001643296,0.194891961,-0.019243028
0.159000,0.363623315,0.001672167,0.197669633,-0.019354537
0.160000,0.363072009,0.001701382,0.200443730,-0.019464937
0.161000,0.362510414,0.001730944,0.203214040,-0.019574214
0.162000,0.361938436,0.001760854,0.205980350,-0.019682356
0.163000,0.361355986,0.001791114,0.208742448,-0.019789348
0.164000,0.360762972,0.001821725,0.211500124,-0.019895179
0.165000,0.360159307,0.001852689,0.214253168,-0.019999836
0.166000,0.359544904,0.001884007,0.217001372,-0.020103306
0.167000,0.358919675,0.001915682,0.219744529,-0.020205578
0.168000,0.358283536,0.001947714,0.222482431,-0.020306638
0.169000,0.357636403,0.001980106,0.225214875,-0.020406476
0.170000,0.356978192,0.002012859,0.227941656,-0.020505078
0.171000,0.356308822,0.002045974,0.230662570,-0.020602435
0.172000,0.355628213,0.002079454,0.233377417,-0.020698534
0.173000,0.354936285,0.002113300,0.236085995,-0.020793363
0.174000,0.354232960,0.002147514,0.238788106,-0.020886913
0.175000,0.353518161,0.002182097,0.241483551,-0.020979172
0.176000,0.352791814,0.002217051,0.244172133,-0.021070128
0.177000,0.352053843,0.002252377,0.246853657,-0.021159773
0.178000,0.351304175,0.002288078,0.249527929,-0.021248095
0.179000,0.350542740,0.002324154,0.252194755,-0.021335084
0.180000,0.349769467,0.002360608,0.254853943,-0.021420730
0.181000,0.348984286,0.002397441,0.257505304,-0.021505024
0.182000,0.348187131,0.002434655,0.260148648,-0.021587956
0.183000,0.347377935,0.002472252,0.262783788,-0.021669517
0.184000,0.346556634,0.002510232,0.265410537,-0.021749696
0.185000,0.345723163,0.002548598,0.268028711,-0.021828487
0.186000,0.344877460,0.002587352,0.270638126,-0.021905879
0.187000,0.344019466,0.002626495,0.273238600,-0.021981864
0.188000,0.343149122,0.002666029,0.275829952,-0.022056435
0.189000,0.342266368,0.002705955,0.278412005,-0.022129582
0.190000,0.341371149,0.002746275,0.280984579,-0.022201298
0.191000,0.340463411,0.002786991,0.283547499,-0.022271575
0.192000,0.339543099,0.002828105,0.286100590,-0.022340407
0.193000,0.338610163,0.002869618,0.288643680,-0.022407785
0.194000,0.337664552,0.002911531,0.291176596,-0.022473703
0.195000,0.336706216,0.002953847,0.293699169,-0.022538154
0.196000,0.335735109,0.002996566,0.296211231,-0.022601132
0.197000,0.334751186,0.003039692,0.298712615,-0.022662629
0.198000,0.333754401,0.003083225,0.301203156,-0.022722641
0.199000,0.332744713,0.003127167,0.303682689,-0.022781162
0.200000,0.331722080,0.003171519,0.306151054,-0.022838185
0.201000,0.330686463,0.003216284,0.308608090,-0.022893706
0.202000,0.329637825,0.003261463,0.311053638,-0.022947719
0.203000,0.328576128,0.003307057,0.313487542,-0.023000220
0.204000,0.327501338,0.003353068,0.315909646,-0.023051204
0.205000,0.326413423,0.003399498,0.318319796,-0.023100666
0.206000,0.325312350,0.003446348,0.320717842,-0.023148604
0.207000,0.324198091,0.003493620,0.323103632,-0.023195011
0.208000,0.323070617,0.003541315,0.325477019,-0.023239886
0.209000,0.321929902,0.003589435,0.327837855,-0.023283224
0.210000,0.320775921,0.003637982,0.330185996,-0.023325024
0.211000,0.319608651,0.003686957,0.332521299,-0.023365280
0.212000,0.318428070,0.003736361,0.334843623,-0.023403992
0.213000,0.317234160,0.003786196,0.337152827,-0.023441157
0.214000,0.316026901,0.003836463,0.339448774,-0.023476772
0.215000,0.314806279,0.003887165,0.341731329,-0.023510836
0.216000,0.313572277,0.003938301,0.344000357,-0.023543347
0.217000,0.312324884,0.003989874,0.346255725,-0.023574304
0.218000,0.311064088,0.004041886,0.348497304,-0.023603706
0.219000,0.309789880,0.004094337,0.350724964,-0.023631551
0.220000,0.308502253,0.004147228,0.352938580,-0.023657840
0.221000,0.307201199,0.004200561,0.355138026,-0.023682572
0.222000,0.305886717,0.004254338,0.357323179,-0.023705746
0.223000,0.304558802,0.004308559,0.359493918,-0.023727364
0.224000,0.303217454,0.004363226,0.361650123,-0.023747425
0.225000,0.301862675,0.004418340,0.363791679,-0.023765930
0.226000,0.300494468,0.004473902,0.365918468,-0.023782880
0.227000,0.299112837,0.004529913,0.368030378,-0.023798276
0.228000,0.297717788,0.004586375,0.370127297,-0.023812121
0.229000,0.296309331,0.004643287,0.372209115,-0.023824414
0.230000,0.294887475,0.004700652,0.374275725,-0.023835159
0.231000,0.293452231,0.004758470,0.376327021,-0.023844357
0.232000,0.292003615,0.004816742,0.378362899,-0.023852011
0.233000,0.290541641,0.004875468,0.380383258,-0.023858123
0.234000,0.289066326,0.004934651,0.382387996,-0.023862698
0.235000,0.287577690,0.004994290,0.384377018,-0.023865736
0.236000,0.286075753,0.005054386,0.386350226,-0.023867243
0.237000,0.284560539,0.005114941,0.388307526,-0.023867222
0.238000,0.283032071,0.005175953,0.390248828,-0.023865677
0.239000,0.281490376,0.005237425,0.392174040,-0.023862611
0.240000,0.279935483,0.005299356,0.394083074,-0.023858030
0.241000,0.278367421,0.005361747,0.395975846,-0.023851938
0.242000,0.276786223,0.005424599,0.397852270,-0.023844339
0.243000,0.275191921,0.005487911,0.399712265,-0.023835240
0.244000,0.273584551,0.005551684,0.401555751,-0.023824644
0.245000,0.271964151,0.005615919,0.403382650,-0.023812559
0.246000,0.270330760,0.005680614,0.405192886,-0.023798989
0.247000,0.268684418,0.005745771,0.406986385,-0.023783941
0.248000,0.267025169,0.005811389,0.408763075,-0.023767421
0.249000,0.265353056,0.005877469,0.410522887,-0.023749435
0.250000,0.263668127,0.005944009,0.412265753,-0.023729991
0.251000,0.261970430,0.006011010,0.413991606,-0.023709095
0.252000,0.260260014,0.006078472,0.415700383,-0.023686754
0.253000,0.258536932,0.006146394,0.417392023,-0.023662977
0.254000,0.256801237,0.006214776,0.419066466,-0.023637769
0.255000,0.255052985,0.006283617,0.420723653,-0.023611140
