t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
4.219328925945e-03,4.247960617660e-05,2.013810560776e-02,-4.824350300537e-05,-2.287015201058e-02,-2.331966891411e-04,-1.105333701002e-01,-2.334350009822e-04,-1.106462096254e-01
4.339532969701e-03,4.493478628933e-05,2.071210268822e-02,-5.103176340501e-05,-2.352197112459e-02,-2.466724787290e-04,-1.136818753571e-01,-2.469245466707e-04,-1.137979149978e-01
4.459737013457e-03,4.745896461287e-05,2.128612373849e-02,-5.389837648301e-05,-2.417381328370e-02,-2.605267290053e-04,-1.168303410938e-01,-2.607929376408e-04,-1.169495796237e-01
4.579941057213e-03,5.005214406831e-05,2.186016942119e-02,-5.684334504776e-05,-2.482567912478e-02,-2.747594351537e-04,-1.199787662150e-01,-2.750401689266e-04,-1.201012023739e-01
4.700145100969e-03,5.271432765639e-05,2.243424039880e-02,-5.986667198420e-05,-2.547756928461e-02,-2.893705922263e-04,-1.231271496255e-01,-2.896662354267e-04,-1.232527821193e-01
4.820349144725e-03,5.544551845746e-05,2.300833733372e-02,-6.296836025381e-05,-2.612948439983e-02,-3.043601951433e-04,-1.262754902300e-01,-3.046711319039e-04,-1.264043177306e-01
4.940553188482e-03,5.824571963151e-05,2.358246088820e-02,-6.614841289458e-05,-2.678142510697e-02,-3.197282386936e-04,-1.294237869330e-01,-3.200548529852e-04,-1.295558080785e-01
5.060757232238e-03,6.111493441811e-05,2.415661172439e-02,-6.940683302101e-05,-2.743339204243e-02,-3.354747175341e-04,-1.325720386393e-01,-3.358173931619e-04,-1.327072520338e-01
5.180961275994e-03,6.405316613643e-05,2.473079050431e-02,-7.274362382409e-05,-2.808538584245e-02,-3.515996261902e-04,-1.357202442533e-01,-3.519587467895e-04,-1.358586484672e-01
5.301165319750e-03,6.706041818518e-05,2.530499788986e-02,-7.615878857128e-05,-2.873740714317e-02,-3.681029590556e-04,-1.388684026796e-01,-3.684789080879e-04,-1.390099962492e-01
5.421369363506e-03,7.013669404266e-05,2.587923454281e-02,-7.965233060651e-05,-2.938945658057e-02,-3.849847103924e-04,-1.420165128226e-01,-3.853778711410e-04,-1.421612942504e-01
5.541573407262e-03,7.328199726670e-05,2.645350112479e-02,-8.322425335013e-05,-3.004153479050e-02,-4.022448743307e-04,-1.451645735866e-01,-4.026556298971e-04,-1.453125413413e-01
5.661777451019e-03,7.649633149463e-05,2.702779829731e-02,-8.687456029892e-05,-3.069364240867e-02,-4.198834448693e-04,-1.483125838761e-01,-4.203121781687e-04,-1.484637363925e-01
5.781981494775e-03,7.977970044332e-05,2.760212672172e-02,-9.060325502608e-05,-3.134578007062e-02,-4.379004158749e-04,-1.514605425953e-01,-4.383475096326e-04,-1.516148782743e-01
5.902185538531e-03,8.313210790912e-05,2.817648705926e-02,-9.441034118117e-05,-3.199794841176e-02,-4.562957810828e-04,-1.546084486485e-01,-4.567616178296e-04,-1.547659658571e-01
6.047148532256e-03,8.726686428466e-05,2.886919431479e-02,-9.910586917494e-05,-3.278448844472e-02,-4.789834405288e-04,-1.584046709471e-01,-4.794723893807e-04,-1.585660227770e-01
